datetime,open,high,low,close,volume
2012-01-03,295.15,308.25,295.15,308.0,3026250
2012-01-04,308.15,310.35,305.25,306.5,2629184
2012-01-05,307.5,309.55,300.8,300.8,3678258
2012-01-06,302.0,305.75,298.65,301.9,2709422
2012-01-09,299.9,304.5,299.45,303.0,2327082
2012-01-10,306.05,313.3,306.05,312.25,6837036
2012-01-11,311.4,319.35,310.05,311.7,7521870
2012-01-12,312.5,318.95,310.5,315.8,7732836
2012-01-13,316.85,326.15,316.0,322.05,14541126
2012-01-16,319.2,326.4,318.5,321.75,5827018
2012-01-17,325.9,331.3,325.5,330.6,7132934
2012-01-18,329.95,333.35,326.65,332.3,6568690
2012-01-19,335.1,335.55,330.4,331.3,6610476
2012-01-20,332.3,332.5,324.15,325.05,5557154
2012-01-23,325.15,329.25,320.8,328.95,6530514
2012-01-24,327.3,328.9,325.75,327.3,4853556
2012-01-25,329.15,338.25,328.65,338.05,10081040
2012-01-26,342.05,361.05,341.1,356.35,21660024
2012-01-27,352.5,367.5,351.55,353.05,17022674
2012-01-30,350.05,357.0,346.0,349.25,8748734
2012-01-31,355.5,356.95,351.3,352.65,6078536
2012-02-01,351.75,361.55,349.15,358.65,8209598
2012-02-02,361.6,374.65,358.2,363.0,25590300
2012-02-03,365.05,368.2,359.15,365.35,12857132
2012-02-06,366.65,367.95,361.05,362.35,8506116
2012-02-07,362.55,363.65,352.75,355.3,9408500
2012-02-08,357.55,359.65,348.0,350.0,9456660
2012-02-09,352.2,353.8,341.4,344.55,10858388
2012-02-10,342.35,343.4,336.0,338.05,5769970
2012-02-13,342.1,354.45,341.3,353.55,10443194
2012-02-14,352.6,359.95,350.55,355.0,12053036
2012-02-15,358.75,362.9,356.85,359.75,8664824
2012-02-16,354.9,356.0,351.1,354.7,6193242
2012-02-17,359.25,359.45,352.8,354.95,5430010
2012-02-20,358.5,360.45,354.5,356.95,4740506
2012-02-21,356.9,357.0,349.55,352.0,5619412
2012-02-22,352.6,354.75,345.95,346.35,5648482
2012-02-24,350.05,361.1,346.5,360.25,9784050
2012-02-27,360.25,369.15,360.0,364.85,11076546
2012-02-28,367.55,369.75,356.3,356.85,8228222
2012-02-29,359.3,364.0,357.75,362.35,6701284
2012-03-01,359.55,365.5,357.5,364.35,6354606
2012-03-02,366.25,368.0,359.55,364.2,9630154
2012-03-05,365.45,373.35,364.5,369.7,11883896
2012-03-06,367.5,368.4,351.25,352.15,9734756
2012-03-07,349.75,355.95,349.0,354.55,4536860
2012-03-11,359.95,364.35,359.55,361.0,2287698
2012-03-12,359.95,361.2,355.15,356.5,6212830
2012-03-13,360.95,361.1,357.1,359.5,4417458
2012-03-14,363.6,369.65,357.5,366.55,18607422
2012-03-15,364.5,371.25,363.65,365.6,10407774
2012-03-16,365.55,368.35,359.3,368.35,8991860
2012-03-19,369.0,370.0,357.95,361.35,5840600
2012-03-20,360.7,362.75,346.3,346.5,6746170
2012-03-21,348.9,351.75,340.6,344.5,7788198
2012-03-22,344.45,346.95,336.25,337.75,6129758
2012-03-23,338.75,342.35,335.9,341.9,5020164
2012-03-26,343.5,353.5,342.35,352.75,6416336
2012-03-27,354.55,355.55,345.5,347.5,6270108
2012-03-28,345.5,347.75,335.55,337.5,6986936
2012-03-29,337.2,339.1,327.0,328.0,8263874
2012-03-30,331.45,340.35,331.0,334.75,7904320
2012-04-02,337.2,344.35,335.5,341.35,5949168
2012-04-03,343.95,349.8,343.0,348.9,6640476
2012-04-04,344.5,350.35,335.55,337.3,10142014
2012-04-05,339.2,342.35,333.6,341.35,9324478
2012-04-06,341.7,342.25,334.4,335.35,2719252
2012-04-09,335.0,339.35,330.25,338.6,3995096
2012-04-10,338.5,341.5,333.4,333.4,5169924
